ID,FPS,LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong),,,
,10,0,,,,,
,,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN,CUSTOMX,CUSTOMY
graphics/4_Boss/boss_straight.bmp,133.076,185.737,653.649,437.209,9,334.024,430.432
graphics/4_Boss/boss_straight.bmp,1024.87,188.572,656.385,441.798,9,341.604,426.019
graphics/4_Boss/boss_straight.bmp,1963.69,188.572,616.15,441.009,9,302.633,426.98
graphics/4_Boss/boss_straight.bmp,2853.53,191.109,622.861,439.971,9,314.019,425.018
graphics/4_Boss/boss_straight.bmp,3753.02,191.684,595.255,433.07,9,313.444,424.443
graphics/4_Boss/boss_straight.bmp,4655.97,186.508,585.479,438.821,9,310.568,428.469
graphics/4_Boss/boss_straight.bmp,5547.98,189.959,604.458,435.37,9,319.77,426.168
graphics/4_Boss/boss_straight.bmp,6468.76,185.358,566.499,435.946,9,299.065,431.345
graphics/4_Boss/boss_straight.bmp,7361.36,188.808,586.628,434.795,9,304.241,426.168
graphics/4_Boss/boss_straight.bmp,8249.93,175.581,584.903,447.448,9,316.319,440.547
graphics/4_Boss/boss_straight.bmp,9151.16,184.783,593.53,439.971,9,314.594,430.769
graphics/4_Boss/boss_straight.bmp,10060.4,191.685,591.229,431.345,9,307.571,424.996
graphics/4_Boss/boss_straight.bmp,10958.7,190.973,592.855,437.551,9,309.257,426.748
graphics/4_Boss/boss_straight.bmp,11837.2,173.416,617.839,442.953,9,330.812,442.425
graphics/4_Boss/boss_straight.bmp,12745.3,179.171,595.032,444.714,9,322.781,437.083
graphics/4_Boss/boss_straight.bmp,13650.7,178.206,586.999,442.201,9,317.131,438.674
graphics/4_Boss/boss_straight.bmp,14535.2,182.171,606.948,438.475,9,332.304,433.41
graphics/4_Boss/boss_straight.bmp,15448.7,189.944,588.82,432.319,9,319.106,426.215
graphics/4_Boss/boss_straight2.bmp,48.3333,155,633.333,488.333,9,393.333,458.333
graphics/4_Boss/boss_straight2.bmp,938.334,170,566.667,456.667,9,401.667,441.667
graphics/4_Boss/boss_straight2.bmp,1773.33,171.667,643.333,466.667,9,470,443.333
graphics/4_Boss/boss_straight2.bmp,2670,158.334,606.667,471.667,9,471.667,456.667
graphics/4_Boss/boss_straight2.bmp,3573.33,165.001,615,470,9,471.667,448.333
graphics/4_Boss/boss_straight2.bmp,4463.33,173.334,615,453.333,9,476.667,441.667
graphics/4_Boss/boss_straight2.bmp,5358.33,156.667,650,485,9,481.667,456.667
graphics/4_Boss/boss_straight2.bmp,6255,170,628.333,466.667,9,483.333,445
graphics/4_Boss/boss_straight2.bmp,7146.66,160,641.667,470,9,493.333,453.333
graphics/4_Boss/boss_straight2.bmp,8053.33,166.667,626.667,466.667,9,490,446.667
graphics/4_Boss/boss_straight2.bmp,9036.66,181.667,563.333,440,9,400,433.333
graphics/4_Boss/boss_straight2.bmp,9948.33,185,583.333,443.333,9,395,428.333
graphics/4_Boss/boss_straight2.bmp,10830,180,586.667,466.667,9,406.667,435
