ID,FPS,LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong),,,
,12,1,,,,,
,,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN,CUSTOMX,CUSTOMY
graphics/3_Enemy/baseball/bBaseball_spin.bmp,71.5786,97.1618,268.053,210.977,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,297.204,97.4092,164.138,212.1,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,420.149,93.085,289.457,218.112,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,297.204,97.4092,164.138,212.1,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,794.201,91.0466,275.188,220.15,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,297.204,97.4092,164.138,212.1,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,1167.83,87.4892,248.893,224.194,7,0,0
graphics/3_Enemy/baseball/bBaseball_spin.bmp,297.204,97.4092,164.138,212.1,7,0,0
