ID,FPS,LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong)
<<<<<<< Updated upstream
,16,1

TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN,CUSTOMX,CUSTOMY
graphics/3_Enemy/baseball/yBaseball_spin.bmp,48.6089,396.433,201.459,205.979,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,254.295,397.251,165.87,204.544,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,407.274,398.11,209.7,204.544,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,618.693,398.11,160.713,202.825,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,761.358,396.391,214.857,206.263,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,961.605,394.672,163.291,205.403,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,1125.76,392.954,211.419,207.982,7,0,0
graphics/3_Enemy/baseball/yBaseball_spin.bmp,958.599,393.701,167.418,209.517,7,0,0
=======
,5,0

TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN,CUSTOMX,CUSTOMY
graphics/3_Enemy/baseball/yBaseball_spin.bmp,103.107,96.8849,199.334,207.961,9,101.256,198.88
graphics/3_Enemy/baseball/yBaseball_spin.bmp,468.628,102.334,184.35,204.329,9,112.023,190.386
graphics/3_Enemy/baseball/yBaseball_spin.bmp,838.864,110.121,173.751,197.883,9,121.426,186.666
graphics/3_Enemy/baseball/yBaseball_spin.bmp,1196.99,103.208,209.243,195.441,9,144.096,179.982
>>>>>>> Stashed changes
